member_name,role,role_start_date,role_end_date,gender
αβδελας κωνσταντινου αποστολος,ζ αντιπροεδρος βουλης,18/07/2019,28/07/2020,male
μαυρωτας παρασκευα γεωργιος,ζ αντιπροεδρος βουλης,06/05/2019,07/07/2019,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,αρχηγος κομματος:προεδρος νεας δημοκρατιας,05/07/2015,23/11/2015,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,ιε προεδρος βουλης,29/06/2012,06/02/2015,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,αρχηγος αξιωματικης αντιπολιτευσης,05/07/2015,23/11/2015,male
μητροπουλος παναγιωτη αλεξιος,α αντιπροεδρος βουλης,06/02/2015,04/10/2015,male
μητσοτακης κυριακου κωνσταντινος,πρωθυπουργος,11/04/1990,13/10/1993,male
μητσοτακης κυριακου κωνσταντινος,αρχηγος αξιωματικης αντιπολιτευσης,13/10/1993,03/11/1993,male
μητσοτακης κυριακου κωνσταντινος,αρχηγος αξιωματικης αντιπολιτευσης,01/09/1984,12/10/1989,male
μητσοτακης κυριακου κωνσταντινος,αρχηγος κομματος:προεδρος νεας δημοκρατιας,01/09/1984,03/11/1993,male
μητσοτακης κωνσταντινου κυριακος,αρχηγος κομματος:προεδρος νεας δημοκρατιας,10/01/2016,28/07/2020,male
μητσοτακης κωνσταντινου κυριακος,αρχηγος αξιωματικης αντιπολιτευσης,10/01/2016,08/07/2019,male
μητσοτακης κωνσταντινου κυριακος,πρωθυπουργος,08/07/2019,28/07/2020,male
μιχαλολιακος γεωργιου νικολαος,αρχηγος κομματος:γενικος γραμματεας χρυσης αυγης,01/12/1980,28/07/2020,male
μπαλαφας περικλη ιωαννης,β αντιπροεδρος βουλης,06/02/2015,04/10/2015,male
μπενακη-ψαρουδα ευαγγελου αννα,ια προεδρος βουλης,19/03/2004,27/09/2007,female
μπενακη-ψαρουδα ευαγγελου αννα,δ αντιπροεδρος βουλης,21/04/2000,19/03/2004,female
αποστολατος σπυριδωνα βαιτσης,ζ αντιπροεδρος,10/10/2008,14/10/2009,male
αποστολατος σπυριδωνα βαιτσης,στ αντιπροεδρος βουλης,15/10/2009,17/05/2012,male
αποστολιδης θωμα λουκας,γ αντιπροεδρος βουλης,08/10/1996,21/04/2000,male
μπουρας κωνσταντινου αθανασιος,γ αντιπροεδρος βουλης,18/07/2019,28/07/2020,male
μωραιτης παναγιωτη γεωργιος,ε αντιπροεδρος βουλης,04/07/1989,22/04/1990,male
νακος σταυρου αθανασιος,β αντιπροεδρος βουλης,18/05/2012,28/03/2013,male
νεραντζης δημητριου αναστασιος,γ αντιπροεδρος βουλης,27/09/2007,14/10/2009,male
νικολαιδου αρισταρχου βαρβαρα (βερα),ε αντιπροεδρος βουλης,27/09/2007,17/05/2012,female
νιωτης δημητριου γρηγοριος,α αντιπροεδρος βουλης,15/10/2009,17/05/2012,male
ξαρχας λαζαρου αθανασιος,β αντιπροεδρος βουλης,22/04/1990,22/10/1993,male
παγκαλος γεωργιου θεοδωρος,αντιπροεδρος κυβερνησης,06/10/2009,17/05/2012,male
παντελακη αντωνιου ελπιδα,ζ αντιπροεδρος βουλης,18/05/2012,28/06/2012,female
παπαδημητριου δημητριου ελισαβετ (ελσα),β αντιπροεδρος βουλης,27/09/2007,14/10/2009,female
αργυρης ιωαννη ευαγγελος,γ αντιπροεδρος βουλης,15/10/2009,17/05/2012,male
παπανδρεου ανδρεα γεωργιος,πρωθυπουργος,06/10/2009,11/11/2011,male
παπανδρεου ανδρεα γεωργιος,αρχηγος αξιωματικης αντιπολιτευσης,10/03/2004,06/10/2009,male
παπανδρεου ανδρεα γεωργιος,αρχηγος κομματος:προεδρος πανελληνιου σοσιαλιστικου κινηματος,08/02/2004,18/03/2012,male
παπανδρεου γεωργιου ανδρεας,αρχηγος αξιωματικης αντιπολιτευσης,11/04/1990,13/10/1993,male
παπανδρεου γεωργιου ανδρεας,αρχηγος αξιωματικης αντιπολιτευσης,12/10/1989,23/11/1989,male
παπανδρεου γεωργιου ανδρεας,αρχηγος κομματος:προεδρος πανελληνιου σοσιαλιστικου κινηματος,03/09/1974,23/06/1996,male
παπαρηγα νικολαου αλεξανδρα,αρχηγος κομματος:γενικος γραμματεας κομμουνιστικου κομματος ελλαδος,27/02/1991,14/04/2013,female
παπουλιας γρηγοριου καρολος,προεδρος ελληνικης δημοκρατιας,12/03/2005,13/03/2015,male
παραστατιδης σωκρατη θεοδωρος,αρχηγος κομματος:προεδρος ανεξαρτητων δημοκρατικων βουλευτων,23/11/2013,06/03/2014,male
παυλοπουλος βασιλειου προκοπιος,προεδρος ελληνικης δημοκρατιας,13/03/2015,13/03/2020,male
πετσαλνικος ιωαννη φιλιππος,δ αντιπροεδρος βουλης,19/03/2004,14/10/2009,male
πετσαλνικος ιωαννη φιλιππος,ιγ προεδρος βουλης,15/10/2009,18/05/2012,male
πικραμμενος οθωνος παναγιωτης,πρωθυπουργος,16/05/2012,20/06/2012,male
πικραμμενος οθωνος παναγιωτης,αντιπροεδρος κυβερνησης,09/07/2019,28/07/2020,male
πικραμμενος οθωνος παναγιωτης,αρχηγος κομματος:προεδρος νεας δημοκρατιας,29/11/2009,05/07/2015,male
πλακιωτακης ιωσηφ ιωαννης,αρχηγος αξιωματικης αντιπολιτευσης,23/11/2015,10/01/2016,male
πλακιωτακης ιωσηφ ιωαννης,αρχηγος κομματος:προεδρος νεας δημοκρατιας,23/11/2015,10/01/2016,male
πολυδωρας γεωργιου βυρων,δ αντιπροεδρος βουλης,15/10/2009,17/05/2012,male
πολυδωρας γεωργιου βυρων,ιδ προεδρος βουλης,18/05/2012,29/06/2012,male
σακοραφα ηλια σοφια,η αντιπροεδρος βουλης,18/07/2019,28/07/2020,female
σαμαρας κωνσταντινου αντωνιος,πρωθυπουργος,20/06/2012,26/01/2015,male
σαμαρας κωνσταντινου αντωνιος,αρχηγος αξιωματικης αντιπολιτευσης,29/11/2009,16/05/2012,male
σαμαρας κωνσταντινου αντωνιος,αρχηγος αξιωματικης αντιπολιτευσης,26/01/2015,05/07/2015,male
σαμαρας κωνσταντινου αντωνιος,αρχηγος κομματος:προεδρος νεας δημοκρατιας,29/11/2009,05/07/2015,male
σαμαρας κωνσταντινου αντωνιος,αρχηγος κομματος:προεδρος πολιτικης ανοιξης,30/06/1993,13/05/2004,male
σγουριδης σγουρη παναγιωτης,β αντιπροεδρος βουλης,08/10/1996,19/03/2004,male
σγουριδης σγουρη παναγιωτης,γ αντιπροεδρος βουλης,22/10/1993,08/10/1996,male
σημιτης γεωργιου κωστας,αρχηγος κομματος:προεδρος πανελληνιου σοσιαλιστικου κινηματος,30/06/1996,08/02/2004,male
σιουφας γεωργιου δημητριος,ιβ προεδρος βουλης,27/09/2007,15/10/2009,male
σουρλας ιωαννη γεωργιος,α αντιπροεδρος βουλης,27/09/2007,14/10/2009,male
σουρλας ιωαννη γεωργιος,β αντιπροεδρος βουλης,19/03/2004,27/09/2007,male
σταυρογιαννης δημητριου νικολαος,αρχηγος κομματος:προεδρος ανεξαρτητων δημοκρατικων βουλευτων,06/03/2014,26/08/2014,male
στεφανοπουλος δημητριου κωνσταντινος,προεδρος ελληνικης δημοκρατιας,10/03/1995,12/03/2005,male
στεφανοπουλος δημητριου κωνσταντινος,αρχηγος κομματος:προεδρος δημοκρατικης ανανεωσης,06/12/1985,24/08/1996,male
ταλιαδουρος αθανασιου σπυριδων,γ αντιπροεδρος βουλης,18/05/2012,28/06/2012,male
τασουλας αναστασιου κωνσταντινος,ιη προεδρος βουλης,18/07/2019,28/07/2020,male
τζαννετακης πετρου τζαννης,αντιπροεδρος κυβερνησης,11/04/1990,08/08/1991,male
τζαννετακης πετρου τζαννης,αντιπροεδρος κυβερνησης,08/08/1991,13/10/1993,male
τραγακης παναγιωτη ιωαννης,γ αντιπροεδρος βουλης,19/03/2004,27/09/2007,male
τραγακης παναγιωτη ιωαννης,α αντιπροεδρος βουλης,29/06/2012,06/02/2015,male
τσαλδαρης κωνσταντινου αθανασιος,ε προεδρος βουλης,04/07/1989,21/11/1989,male
τσαλδαρης κωνσταντινου αθανασιος,στ προεδρος βουλης,21/11/1989,22/04/1990,male
τσαλδαρης κωνσταντινου αθανασιος,ζ προεδρος βουλης,22/04/1990,22/10/1993,male
τσιπρας παυλου αλεξιος,πρωθυπουργος,26/01/2015,27/08/2015,male
τσιπρας παυλου αλεξιος,πρωθυπουργος,21/09/2015,08/07/2019,male
τσιπρας παυλου αλεξιος,αρχηγος αξιωματικης αντιπολιτευσης,20/06/2012,26/01/2015,male
τσιπρας παυλου αλεξιος,αρχηγος αξιωματικης αντιπολιτευσης,08/07/2019,28/07/2020,male
τσιπρας παυλου αλεξιος,αρχηγος κομματος:προεδρος συνασπισμου αριστερας κινηματων και οικολογιας,10/02/2008,10/07/2013,male
τσιπρας παυλου αλεξιος,αρχηγος κομματος:προεδρος συνασπισμου ριζοσπαστικης αριστερας,17/06/2012,28/07/2020,male
τσοβολας κωνσταντινου δημητριος,αρχηγος κομματος:προεδρος δημοκρατικου κοινωνικου κινηματος,20/12/1995,20/03/2004,male
φαρακος κωνσταντινου γρηγοριος,αρχηγος κομματος:γενικος γραμματεας κομμουνιστικου κομματος ελλαδος,11/07/1989,27/02/1991,male
φλωρακης ιωαννη χαριλαος,αρχηγος κομματος:γενικος γραμματεας κομμουνιστικου κομματος ελλαδος,17/11/1974,11/07/1989,male
φλωρακης ιωαννη χαριλαος,αρχηγος κομματος:προεδρος συνασπισμου αριστερας κινηματων και οικολογιας,08/04/1989,09/03/1990,male
φραγκος αναστασιου δημητριος,γ αντιπροεδρος βουλης,22/04/1990,22/10/1993,male
βαρεμενος βασιλειου γεωργιος,β αντιπροεδρος,04/10/2015,18/07/2019,male
χαραλαμπιδου δημητριου δεσποινα,γ αντιπροεδρος βουλης,06/02/2015,04/10/2015,female
χατζηγακης μιχαηλ σωτηριος,α αντιπροεδρος βουλης,19/03/2004,27/09/2007,male
βαρουφακης γεωργιου γιανης,αρχηγος κομματος:προεδρος μετωπου ευρωπαικης ρεαλιστικης ανυπακοης,26/03/2018,28/07/2020,male
χουντης βασιλειου νικολαος,αρχηγος κομματος:γενικος γραμματεας λαικης ενοτητας,09/06/2019,28/07/2020,male
χριστοδουλοπουλου ζαχαρια αναστασια,γ αντιπροεδρος,04/10/2015,18/07/2019,female
βελοπουλος ιωσηφ κυριακος,αρχηγος κομματος:προεδρος ελληνικης λυσης,28/06/2016,28/07/2020,male
βενιζελος βασιλειου ευαγγελος,αντιπροεδρος κυβερνησης,17/06/2011,21/03/2012,male
βενιζελος βασιλειου ευαγγελος,αντιπροεδρος κυβερνησης,25/06/2013,27/01/2015,male
βενιζελος βασιλειου ευαγγελος,αρχηγος κομματος:προεδρος πανελληνιου σοσιαλιστικου κινηματος,18/03/2012,14/06/2015,male
βενιζελος κυριακου νικητας,ε αντιπροεδρος βουλης,22/10/1993,08/10/1996,male
βιτσας αθανασιου δημητριος,δ αντιπροεδρος βουλης,18/07/2019,28/07/2020,male
βουτσης γεωργιου νικολαος,ιζ προεδρος βουλης,04/10/2015,18/07/2019,male
βρεττος σπυριδωνος κωνσταντινος (ντινος),γ αντιπροεδρος βουλης,21/04/2000,19/03/2004,male
γειτονας ιωαννη κωνσταντινος,α αντιπροεδρος βουλης,21/04/2000,19/03/2004,male
γεννηματα γεωργιου φωτεινη (φωφη),αρχηγος κομματος:προεδρος πανελληνιου σοσιαλιστικου κινηματος,14/06/2015,28/07/2020,female
γεννηματα γεωργιου φωτεινη (φωφη),αρχηγος κομματος:προεδρος δημοκρατικης συμπαραταξης,30/08/2015,16/03/2018,female
γεννηματα γεωργιου φωτεινη (φωφη),αρχηγος κομματος:προεδρος κινηματος αλλαγης,17/11/2017,28/07/2020,female
αθανασιου χριστοφα χαραλαμπος,β αντιπροεδρος βουλης,18/07/2019,28/07/2020,male
γρηγορακος γεωργιου λεωνιδας,ε αντιπροεδρος βουλης,18/05/2012,24/06/2013,male
δαμανακη θεοδωρου μαρια,α αντιπροεδρος βουλης,04/07/1989,21/11/1989,female
δαμανακη θεοδωρου μαρια,β αντιπροεδρος βουλης,21/11/1989,22/04/1990,female
δαμανακη θεοδωρου μαρια,αρχηγος κομματος:προεδρος συνασπισμου αριστερας κινηματων και οικολογιας,09/03/1990,19/12/1993,female
αλαβανος νικολαου αλεξανδρος,αρχηγος κομματος:προεδρος συνασπισμου αριστερας κινηματων και οικολογιας,12/12/2004,10/02/2008,male
αλαβανος νικολαου αλεξανδρος,αρχηγος κομματος:προεδρος συνασπισμου ριζοσπαστικης αριστερας,12/12/2004,04/10/2009,male
δραγασακης ανδρεα ιωαννης,στ αντιπροεδρος,07/10/2008,14/10/2009,male
δραγασακης ανδρεα ιωαννης,δ αντιπροεδρος βουλης,29/06/2012,06/02/2015,male
δραγασακης ανδρεα ιωαννης,αντιπροεδρος κυβερνησης,23/09/2015,09/07/2019,male
δραγασακης ανδρεα ιωαννης,αντιπροεδρος κυβερνησης,27/01/2015,28/08/2015,male
δρεττακης γεωργιου εμμανουηλ,ε αντιπροεδρος βουλης,22/04/1990,22/10/1993,male
δριβελεγκας κωνσταντινου ιωαννης,ε αντιπροεδρος,09/07/2013,05/02/2015,male
εβερτ αγγελου μιλτιαδης,αρχηγος αξιωματικης αντιπολιτευσης,03/11/1993,21/03/1997,male
εβερτ αγγελου μιλτιαδης,αρχηγος κομματος:προεδρος νεας δημοκρατιας,03/11/1993,21/03/1997,male
ζακολικος χρηστου παυσανιας,β αντιπροεδρος βουλης,22/10/1993,08/10/1996,male
ζηση αθανασιου ροδουλα,β αντιπροεδρος βουλης,15/10/2009,17/05/2012,female
θεοδωρακης παναγιωτη σταυρος,αρχηγος κομματος:προεδρος ποταμι,26/02/2014,24/11/2019,male
θεοχαροπουλος στεφανου αθανασιος,αρχηγος κομματος:προεδρος δημοκρατικης αριστερας,07/06/2015,28/07/2020,male
κακλαμανης μιχαηλ νικητας,δ αντιπροεδρος βουλης,06/02/2015,18/07/2019,male
κακλαμανης μιχαηλ νικητας,α αντιπροεδρος βουλης,18/07/2019,28/07/2020,male
κακλαμανης χρηστου αποστολος,η προεδρος βουλης,22/10/1993,08/10/1996,male
κακλαμανης χρηστου αποστολος,θ προεδρος βουλης,08/10/1996,21/04/2000,male
κακλαμανης χρηστου αποστολος,ι προεδρος βουλης,21/04/2000,19/03/2004,male
καλαντζης κωνσταντινου γεωργιος,β αντιπροεδρος,29/03/2013,05/02/2015,male
καμμενος ηλια παναγιωτης (πανος),αρχηγος κομματος:προεδρος ανεξαρτητων ελληνων,24/02/2012,09/06/2019,male
κανελλοπουλος πετρου αθανασιος,αντιπροεδρος κυβερνησης,11/04/1990,08/08/1991,male
κανελλοπουλος πετρου αθανασιος,αντιπροεδρος κυβερνησης,08/08/1991,21/02/1992,male
καραμανλης αλεξανδρου κωνσταντινος,πρωθυπουργος,10/03/2004,06/10/2009,male
καραμανλης αλεξανδρου κωνσταντινος,πρωθυπουργος,19/09/2007,07/10/2009,male
καραμανλης αλεξανδρου κωνσταντινος,αρχηγος αξιωματικης αντιπολιτευσης,06/10/2009,29/11/2009,male
καραμανλης αλεξανδρου κωνσταντινος,αρχηγος αξιωματικης αντιπολιτευσης,21/03/1997,10/03/2004,male
καραμανλης αλεξανδρου κωνσταντινος,αρχηγος κομματος:προεδρος νεας δημοκρατιας,21/03/1997,29/11/2009,male
καρατζαφερης ιωαννη γεωργιος,αρχηγος κομματος:προεδρος λαικου ορθοδοξου συναγερμου,14/09/2000,27/05/2019,male
κατσαρος ηλια νικος,α αντιπροεδρος βουλης,22/04/1990,22/10/1993,male
κατσαρος ηλια νικος,γ αντιπροεδρος βουλης,21/11/1989,22/04/1990,male
κατσαρος ηλια νικος,β αντιπροεδρος βουλης,04/07/1989,21/11/1989,male
κατσαρος ηλια νικος,δ αντιπροεδρος βουλης,22/10/1993,21/04/2000,male
αναγνωστοπουλος γεωργιου θεοδωρος,δ αντιπροεδρος βουλης,21/11/1989,22/04/1990,male
αναγνωστοπουλος γεωργιου θεοδωρος,γ αντιπροεδρος βουλης,04/07/1989,21/11/1989,male
αναγνωστοπουλος γεωργιου θεοδωρος,β αντιπροεδρος βουλης,22/04/1990,22/10/1993,male
κολλια-τσαρουχα ευστρατιου μαρια,στ αντιπροεδρος βουλης,18/05/2012,05/02/2015,female
κοσιωνης ανδρεα παναγιωτης,ε αντιπροεδρος βουλης,19/03/2000,27/09/2007,male
κουβελης ευαγγελου φωτιος-φανουριος,αρχηγος κομματος:προεδρος δημοκρατικης αριστερας,10/07/2010,07/06/2015,male
κουρακης στυλιανου αναστασιος (τασος),ζ αντιπροεδρος βουλης,17/06/2010,17/05/2012,male
κουρακης στυλιανου αναστασιος (τασος),δ αντιπροεδρος βουλης,18/05/2012,28/06/2012,male
κουρακης στυλιανου αναστασιος (τασος),α αντιπροεδρος βουλης,04/10/2015,18/07/2019,male
κουτσουμπας αποστολου δημητριος,αρχηγος κομματος:γενικος γραμματεας κομμουνιστικου κομματος ελλαδος,14/04/2013,28/07/2020,male
κρεμαστινος θωμα δημητριος,ε αντιπροεδρος βουλης,04/10/2015,18/07/2019,male
κρητικος νικολαου παναγιωτης,α αντιπροεδρος βουλης,21/11/1989,22/04/1990,male
κρητικος νικολαου παναγιωτης,α αντιπροεδρος βουλης,22/10/1993,21/04/2000,male
κρητικος νικολαου παναγιωτης,δ αντιπροεδρος βουλης,03/07/1989,21/11/1989,male
κρητικος νικολαου παναγιωτης,δ αντιπροεδρος βουλης,22/04/1990,22/10/1993,male
κωνσταντινοπουλος κωνσταντινου οδυσσεας,ε αντιπροεδρος βουλης,18/07/2019,28/07/2020,male
κωνσταντοπουλος ανδρεα νικολαος,αρχηγος κομματος:προεδρος συνασπισμου αριστερας κινηματων και οικολογιας,19/12/1993,12/12/2004,male
κωνσταντοπουλος ανδρεα νικολαος,αρχηγος κομματος:προεδρος συνασπισμου ριζοσπαστικης αριστερας,07/03/2004,12/12/2004,male
κωνσταντοπουλου ν. ζωη,ιστ προεδρος βουλης,06/02/2015,04/10/2015,female
κωστοπουλος βασιλειου δημητριος,ε αντιπροεδρος βουλης,08/10/1996,21/04/2000,male
λαμπρουλης αριστειδη γεωργιος,ζ αντιπροεδρος βουλης,05/02/2015,06/07/2016,male
λαμπρουλης αριστειδη γεωργιος,στ αντιπροεδρος,04/10/2015,17/07/2019,male
λαμπρουλης αριστειδη γεωργιος,στ αντιπροεδρος βουλης,06/07/2016,28/07/2020,male
λαφαζανης γεωργιου παναγιωτης,αρχηγος κομματος:γενικος γραμματεας λαικης ενοτητας,21/08/2015,02/06/2019,male
λεβεντης αποστολου βασιλης,αρχηγος κομματος:προεδρος ενωσης κεντρωων,02/03/1992,28/07/2020,male
λεβεντης σωτηριου αθανασιος,ζ αντιπροεδρος,15/10/2009,16/06/2010,male
λυκουδης διονυσιου σπυριδων,στ αντιπροεδρος βουλης,05/02/2015,04/10/2015,male
λυκουδης διονυσιου σπυριδων,ζ αντιπροεδρος βουλης,06/07/2016,08/02/2019,male
μαρκογιαννακης εμμανουηλ χρηστος,γ αντιπροεδρος βουλης,29/06/2012,05/02/2015,male
